Device: cuda, workers=14
Kernel sizes: [3, 5, 7, 9]
Channels: (32, 64)

========== Phase 1: Training Teachers (kernel size sweep) ==========
[student_k7] Epoch 34/50 | train=0.9798 | val=0.9783
[student_k7] Epoch 35/50 | train=0.9773 | val=0.9744
[student_k7] Epoch 36/50 | train=0.9807 | val=0.9803
[student_k7] Epoch 37/50 | train=0.9783 | val=0.9763
[student_k7] Epoch 38/50 | train=0.9743 | val=0.9684
[student_k7] Epoch 39/50 | train=0.9793 | val=0.9783
[student_k7] Epoch 40/50 | train=0.9802 | val=0.9783
[student_k7] Epoch 41/50 | train=0.9822 | val=0.9803
[student_k7] Epoch 42/50 | train=0.9798 | val=0.9862
[student_k7] Epoch 43/50 | train=0.9827 | val=0.9803
[student_k7] Epoch 44/50 | train=0.9827 | val=0.9744
[student_k7] Epoch 45/50 | train=0.9802 | val=0.9842
[student_k7] Epoch 46/50 | train=0.9827 | val=0.9763
[student_k7] Epoch 47/50 | train=0.9827 | val=0.9803
[student_k7] Epoch 48/50 | train=0.9793 | val=0.9822
[student_k7] Epoch 49/50 | train=0.9862 | val=0.9803
[student_k7] Epoch 50/50 | train=0.9807 | val=0.9803
  Saved: ./models/snn1d_student_k7.pt (params=17380, 174.8KB)
[student_k9] Epoch 1/50 | train=0.4844 | val=0.4852
[student_k9] Epoch 2/50 | train=0.4914 | val=0.5207
[student_k9] Epoch 3/50 | train=0.5032 | val=0.5049
[student_k9] Epoch 4/50 | train=0.5294 | val=0.5345
[student_k9] Epoch 5/50 | train=0.6000 | val=0.6252
[student_k9] Epoch 6/50 | train=0.6914 | val=0.7554
[student_k9] Epoch 7/50 | train=0.7827 | val=0.8363
[student_k9] Epoch 8/50 | train=0.8425 | val=0.8679
[student_k9] Epoch 9/50 | train=0.8800 | val=0.8777
[student_k9] Epoch 10/50 | train=0.9037 | val=0.9132
[student_k9] Epoch 11/50 | train=0.9180 | val=0.9250
[student_k9] Epoch 12/50 | train=0.9363 | val=0.9310
[student_k9] Epoch 13/50 | train=0.9427 | val=0.9389
[student_k9] Epoch 14/50 | train=0.9447 | val=0.9527
[student_k9] Epoch 15/50 | train=0.9560 | val=0.9527
[student_k9] Epoch 16/50 | train=0.9654 | val=0.9586
[student_k9] Epoch 17/50 | train=0.9640 | val=0.9625
[student_k9] Epoch 18/50 | train=0.9748 | val=0.9645
[student_k9] Epoch 19/50 | train=0.9743 | val=0.9724
[student_k9] Epoch 20/50 | train=0.9714 | val=0.9665
[student_k9] Epoch 21/50 | train=0.9748 | val=0.9744
[student_k9] Epoch 22/50 | train=0.9733 | val=0.9724
[student_k9] Epoch 23/50 | train=0.9743 | val=0.9783
[student_k9] Epoch 24/50 | train=0.9768 | val=0.9744
[student_k9] Epoch 25/50 | train=0.9758 | val=0.9783
[student_k9] Epoch 26/50 | train=0.9783 | val=0.9724
[student_k9] Epoch 27/50 | train=0.9778 | val=0.9803
[student_k9] Epoch 28/50 | train=0.9798 | val=0.9783
[student_k9] Epoch 29/50 | train=0.9798 | val=0.9842
[student_k9] Epoch 30/50 | train=0.9778 | val=0.9803
[student_k9] Epoch 31/50 | train=0.9798 | val=0.9783
[student_k9] Epoch 32/50 | train=0.9788 | val=0.9763
[student_k9] Epoch 33/50 | train=0.9822 | val=0.9822
[student_k9] Epoch 34/50 | train=0.9812 | val=0.9783
[student_k9] Epoch 35/50 | train=0.9832 | val=0.9862
[student_k9] Epoch 36/50 | train=0.9857 | val=0.9783
[student_k9] Epoch 37/50 | train=0.9832 | val=0.9901
[student_k9] Epoch 38/50 | train=0.9827 | val=0.9783
[student_k9] Epoch 39/50 | train=0.9832 | val=0.9803
[student_k9] Epoch 40/50 | train=0.9817 | val=0.9862
[student_k9] Epoch 41/50 | train=0.9872 | val=0.9862
[student_k9] Epoch 42/50 | train=0.9842 | val=0.9842
[student_k9] Epoch 43/50 | train=0.9837 | val=0.9842
[student_k9] Epoch 44/50 | train=0.9842 | val=0.9862
[student_k9] Epoch 45/50 | train=0.9862 | val=0.9862
[student_k9] Epoch 46/50 | train=0.9847 | val=0.9803
[student_k9] Epoch 47/50 | train=0.9842 | val=0.9882
[student_k9] Epoch 48/50 | train=0.9867 | val=0.9862
[student_k9] Epoch 49/50 | train=0.9862 | val=0.9862
[student_k9] Epoch 50/50 | train=0.9881 | val=0.9882
  Saved: ./models/snn1d_student_k9.pt (params=22244, 193.8KB)

=== Done. Results saved to ./result/kernel_sweep_results.json ===
  teacher_1d k=3: params=7652, size=136.8KB, score=1.9625
  teacher_1d k=5: params=12516, size=155.8KB, score=1.9689
  teacher_1d k=7: params=17380, size=174.8KB, score=1.9743
  teacher_1d k=9: params=22244, size=193.8KB, score=1.9738
  student_kd_1d k=3: params=7652, size=136.8KB, score=1.8495
  student_kd_1d k=5: params=12516, size=155.8KB, score=1.9590
  student_kd_1d k=7: params=17380, size=174.8KB, score=1.9664
  student_kd_1d k=9: params=22244, size=193.8KB, score=1.9763
